gym_name,mobile,email,address,city,state,pincode,gym_type,timing,description,website,status
Iron Core Fitness,9000000706,gym706@example.com,"706 Fitness Road, Main Market",Bareilly,Uttar Pradesh,243001,Unisex,05:00 AM - 10:00 PM,Iron Core Fitness is a modern fitness center.,https://gym706.example.com,1
Power House Gym,9000000707,gym707@example.com,"707 Fitness Road, Main Market",Moradabad,Uttar Pradesh,244001,Unisex,05:00 AM - 10:00 PM,Power House Gym is a modern fitness center.,https://gym707.example.com,1
Fit Nation Club,9000000708,gym708@example.com,"708 Fitness Road, Main Market",Rampur,Uttar Pradesh,244901,Unisex,05:00 AM - 10:00 PM,Fit Nation Club is a modern fitness center.,https://gym708.example.com,1
Alpha Strength Studio,9000000709,gym709@example.com,"709 Fitness Road, Main Market",Sambhal,Uttar Pradesh,244302,Unisex,05:00 AM - 10:00 PM,Alpha Strength Studio is a modern fitness center.,https://gym709.example.com,1
Prime Fitness Arena,9000000710,gym710@example.com,"710 Fitness Road, Main Market",Amroha,Uttar Pradesh,244221,Unisex,05:00 AM - 10:00 PM,Prime Fitness Arena is a modern fitness center.,https://gym710.example.com,1
Titan Gym,9000000711,gym711@example.com,"711 Fitness Road, Main Market",Bareilly,Uttar Pradesh,243001,Unisex,05:00 AM - 10:00 PM,Titan Gym is a modern fitness center.,https://gym711.example.com,1
Flex Factory,9000000712,gym712@example.com,"712 Fitness Road, Main Market",Moradabad,Uttar Pradesh,244001,Unisex,05:00 AM - 10:00 PM,Flex Factory is a modern fitness center.,https://gym712.example.com,1
Urban Fit Club,9000000713,gym713@example.com,"713 Fitness Road, Main Market",Rampur,Uttar Pradesh,244901,Unisex,05:00 AM - 10:00 PM,Urban Fit Club is a modern fitness center.,https://gym713.example.com,1
Muscle Mania Gym,9000000714,gym714@example.com,"714 Fitness Road, Main Market",Sambhal,Uttar Pradesh,244302,Unisex,05:00 AM - 10:00 PM,Muscle Mania Gym is a modern fitness center.,https://gym714.example.com,1
Wellness Zone,9000000715,gym715@example.com,"715 Fitness Road, Main Market",Amroha,Uttar Pradesh,244221,Unisex,05:00 AM - 10:00 PM,Wellness Zone is a modern fitness center.,https://gym715.example.com,1
Beast Mode Fitness,9000000716,gym716@example.com,"716 Fitness Road, Main Market",Bareilly,Uttar Pradesh,243001,Unisex,05:00 AM - 10:00 PM,Beast Mode Fitness is a modern fitness center.,https://gym716.example.com,1
Core Fitness Hub,9000000717,gym717@example.com,"717 Fitness Road, Main Market",Moradabad,Uttar Pradesh,244001,Unisex,05:00 AM - 10:00 PM,Core Fitness Hub is a modern fitness center.,https://gym717.example.com,1
Energy Fitness Studio,9000000718,gym718@example.com,"718 Fitness Road, Main Market",Rampur,Uttar Pradesh,244901,Unisex,05:00 AM - 10:00 PM,Energy Fitness Studio is a modern fitness center.,https://gym718.example.com,1
Victory Gym,9000000719,gym719@example.com,"719 Fitness Road, Main Market",Sambhal,Uttar Pradesh,244302,Unisex,05:00 AM - 10:00 PM,Victory Gym is a modern fitness center.,https://gym719.example.com,1
Body Craft Fitness,9000000720,gym720@example.com,"720 Fitness Road, Main Market",Amroha,Uttar Pradesh,244221,Unisex,05:00 AM - 10:00 PM,Body Craft Fitness is a modern fitness center.,https://gym720.example.com,1
Elite Fitness Club,9000000721,gym721@example.com,"721 Fitness Road, Main Market",Bareilly,Uttar Pradesh,243001,Unisex,05:00 AM - 10:00 PM,Elite Fitness Club is a modern fitness center.,https://gym721.example.com,1
Strong Life Gym,9000000722,gym722@example.com,"722 Fitness Road, Main Market",Moradabad,Uttar Pradesh,244001,Unisex,05:00 AM - 10:00 PM,Strong Life Gym is a modern fitness center.,https://gym722.example.com,1
Fitness First Arena,9000000723,gym723@example.com,"723 Fitness Road, Main Market",Rampur,Uttar Pradesh,244901,Unisex,05:00 AM - 10:00 PM,Fitness First Arena is a modern fitness center.,https://gym723.example.com,1
Pulse Gym,9000000724,gym724@example.com,"724 Fitness Road, Main Market",Sambhal,Uttar Pradesh,244302,Unisex,05:00 AM - 10:00 PM,Pulse Gym is a modern fitness center.,https://gym724.example.com,1
Next Level Fitness,9000000725,gym725@example.com,"725 Fitness Road, Main Market",Amroha,Uttar Pradesh,244221,Unisex,05:00 AM - 10:00 PM,Next Level Fitness is a modern fitness center.,https://gym725.example.com,1
Gravity Fitness,9000000726,gym726@example.com,"726 Fitness Road, Main Market",Bareilly,Uttar Pradesh,243001,Unisex,05:00 AM - 10:00 PM,Gravity Fitness is a modern fitness center.,https://gym726.example.com,1
Dynamic Gym,9000000727,gym727@example.com,"727 Fitness Road, Main Market",Moradabad,Uttar Pradesh,244001,Unisex,05:00 AM - 10:00 PM,Dynamic Gym is a modern fitness center.,https://gym727.example.com,1
Fit Fusion Studio,9000000728,gym728@example.com,"728 Fitness Road, Main Market",Rampur,Uttar Pradesh,244901,Unisex,05:00 AM - 10:00 PM,Fit Fusion Studio is a modern fitness center.,https://gym728.example.com,1
Max Strength Gym,9000000729,gym729@example.com,"729 Fitness Road, Main Market",Sambhal,Uttar Pradesh,244302,Unisex,05:00 AM - 10:00 PM,Max Strength Gym is a modern fitness center.,https://gym729.example.com,1
Active Life Fitness,9000000730,gym730@example.com,"730 Fitness Road, Main Market",Amroha,Uttar Pradesh,244221,Unisex,05:00 AM - 10:00 PM,Active Life Fitness is a modern fitness center.,https://gym730.example.com,1
